sourceName,startDate,endDate,activityType,duration,durationUnit,duration,durationUnit ,totalEnergyBurned,HKWeatherHumidity,HKIndoorWorkout,HKWeatherTemperature,HKTimeZone,HKAverageMETs
Susan’s Apple Watch,2022-10-01 21:56:06 +0000,2022-10-02 00:15:48 +0000,Pickleball,7911.889641,sec,131.8648274,min,1015.22 kcal,4600 %,0,75.2 degF,America/Los_Angeles,7.9575 kcal/hr·kg
Susan’s Apple Watch,2022-10-02 21:26:44 +0000,2022-10-03 00:36:45 +0000,Pickleball,10462.80729,sec,174.3801215,min,1162.6 kcal,5500 %,0,71.6 degF,America/Los_Angeles,7.04993 kcal/hr·kg
Susan’s Apple Watch,2022-10-15 21:51:37 +0000,2022-10-16 00:40:02 +0000,Pickleball,8667.60054,sec,144.460009,min,935.229 kcal,5100 %,0,71.6 degF,America/Los_Angeles,6.65954 kcal/hr·kg
Susan’s Apple Watch,2022-10-23 23:02:02 +0000,2022-10-23 23:50:31 +0000,Pickleball,2720.543067,sec,45.34238445,min,347.136 kcal,,0,,America/Los_Angeles,7.92621 kcal/hr·kg
Susan’s Apple Watch,2022-10-24 01:21:40 +0000,2022-10-24 02:54:55 +0000,Pickleball,5595.472231,sec,93.25787052,min,791.949 kcal,4500 %,0,62.6 degF,America/Los_Angeles,8.74329 kcal/hr·kg
Susan’s Apple Watch,2022-10-27 00:02:57 +0000,2022-10-27 04:20:15 +0000,Pickleball,7235.047036,sec,120.5841173,min,847.92 kcal,4900 %,0,64.4 degF,America/Los_Angeles,6.92905 kcal/hr·kg
Susan’s Apple Watch,2022-10-28 18:08:57 +0000,2022-10-28 18:38:22 +0000,Pickleball,653.581455,sec,10.89302425,min,61.9535 kcal,6300 %,0,60.8 degF,America/Los_Angeles,6.07315 kcal/hr·kg
Susan’s Apple Watch,2022-10-30 22:31:47 +0000,2022-10-31 01:17:17 +0000,Pickleball,7600.362572,sec,126.6727095,min,1027.35 kcal,4500 %,0,71.6 degF,America/Los_Angeles,7.97926 kcal/hr·kg
Susan’s Apple Watch,2022-11-02 00:48:14 +0000,2022-11-02 01:33:28 +0000,Pickleball,2546.563473,sec,42.44272455,min,257.348 kcal,7500 %,0,53.6 degF,America/Los_Angeles,6.27174 kcal/hr·kg
Susan’s Apple Watch,2022-11-03 18:30:54 +0000,2022-11-03 20:01:37 +0000,Pickleball,4634.276891,sec,77.23794818,min,520.941 kcal,5000 %,0,55.4 degF,America/Los_Angeles,6.3154 kcal/hr·kg
Susan’s Apple Watch,2022-11-05 19:29:56 +0000,2022-11-05 21:47:34 +0000,Pickleball,6167.976803,sec,102.7996134,min,707.687 kcal,7000 %,0,62.6 degF,America/Los_Angeles,6.12978 kcal/hr·kg
Susan’s Apple Watch,2022-11-07 01:03:13 +0000,2022-11-07 03:28:57 +0000,Pickleball,8627.761794,sec,143.7960299,min,930.417 kcal,7600 %,0,53.6 degF,America/Los_Angeles,6.84571 kcal/hr·kg
Susan’s Apple Watch,2022-11-09 02:45:02 +0000,2022-11-09 03:41:33 +0000,Pickleball,3017.175326,sec,50.28625543,min,367.442 kcal,8000 %,0,48.2 degF,America/Los_Angeles,7.58062 kcal/hr·kg
Susan’s Apple Watch,2022-11-10 03:24:10 +0000,2022-11-10 04:06:06 +0000,Pickleball,2515.558022,sec,41.92596703,min,287.975 kcal,7700 %,0,51.8 degF,America/Los_Angeles,7.18092 kcal/hr·kg
Susan’s Apple Watch,2022-11-12 20:30:12 +0000,2022-11-12 21:06:12 +0000,Pickleball,2160.719561,sec,36.01199268,min,202.043 kcal,5000 %,0,57.2 degF,America/Los_Angeles,6.0053 kcal/hr·kg
Susan’s Apple Watch,2022-11-14 00:14:14 +0000,2022-11-14 02:53:04 +0000,Pickleball,6449.33333,sec,107.4888888,min,643.037 kcal,3800 %,0,57.2 degF,America/Los_Angeles,5.57775 kcal/hr·kg
Susan’s Apple Watch,2022-11-15 18:23:46 +0000,2022-11-15 20:35:37 +0000,Pickleball,2838.794081,sec,47.31323468,min,285.638 kcal,4400 %,0,59 degF,America/Los_Angeles,11.2469 kcal/hr·kg
Susan’s Apple Watch,2022-11-16 02:23:08 +0000,2022-11-16 04:56:45 +0000,Pickleball,6590.090783,sec,109.8348464,min,666.169 kcal,4800 %,0,53.6 degF,America/Los_Angeles,6.30467 kcal/hr·kg
Susan’s Apple Watch,2022-11-19 02:38:50 +0000,2022-11-19 03:47:57 +0000,Pickleball,4147.384382,sec,69.12307303,min,476.012 kcal,6200 %,0,55.4 degF,America/Los_Angeles,7.32697 kcal/hr·kg
Susan’s Apple Watch,2022-11-19 23:24:22 +0000,2022-11-20 01:20:08 +0000,Pickleball,6123.926782,sec,102.0654464,min,644.804 kcal,2900 %,0,64.4 degF,America/Los_Angeles,8.3688 kcal/hr·kg
Susan’s Apple Watch,2022-11-21 01:04:55 +0000,2022-11-21 03:27:38 +0000,Pickleball,7203.325443,sec,120.055424,min,723.997 kcal,4700 %,0,57.2 degF,America/Los_Angeles,6.40654 kcal/hr·kg
Susan’s Apple Watch,2022-11-22 02:08:32 +0000,2022-11-22 05:24:43 +0000,Pickleball,10548.92248,sec,175.8153747,min,1223.85 kcal,4500 %,0,55.4 degF,America/Los_Angeles,6.96929 kcal/hr·kg
Susan’s Apple Watch,2022-11-23 00:14:59 +0000,2022-11-23 03:11:36 +0000,Pickleball,8366.895599,sec,139.44826,min,937.739 kcal,4200 %,0,62.6 degF,America/Los_Angeles,6.63204 kcal/hr·kg
Susan’s Apple Watch,2022-11-26 21:51:03 +0000,2022-11-26 22:06:46 +0000,Pickleball,942.4866179,sec,15.7081103,min,68.0236 kcal,4500 %,0,64.4 degF,America/Los_Angeles,3.88094 kcal/hr·kg
Susan’s Apple Watch,2022-11-26 22:09:47 +0000,2022-11-26 22:41:43 +0000,Pickleball,1752.771704,sec,29.21286173,min,213.462 kcal,4500 %,0,64.4 degF,America/Los_Angeles,7.46611 kcal/hr·kg
Susan’s Apple Watch,2022-11-26 22:42:49 +0000,2022-11-26 22:56:52 +0000,Pickleball,842.945415,sec,14.04909025,min,106.657 kcal,,0,,America/Los_Angeles,8.00066 kcal/hr·kg
